Назва поля,Тип,Формат,Опис
**ЕлектроннийДокумент**,М, ,Початок документу
**Заголовок**,М,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
ТипДокументу,М,Строка (50),"Типи документів:
Договір
Додаткова угода  
Протокол розбіжностей  
Акт приймання продукції (товару) за кількістю та якістю
Акт про виявлені недоліки
Видаткова накладна
Прибуткова накладна
Товарна специфікація
Акт невідповідності
Накладна
Повідомлення про повернення
Накладна на повернення
Акт виконаних робіт
Акт звірки взаєморозрахунків
Акт взаємозаліку
Рахунок-фактура
Акт про виявлення невідповідностей
Акт наданих послуг
Звіт комітенту
Накладна на переміщення
Повідомлення про відмову від підписання документу
Анулювання
Специфікація послуг по перевезеннях
Звіт комітенту по еквайрингу
Рахунок по еквайрингу
Зведена специфікація послуг
Товарна накладна
Заявка на транспортно-експедиційне обслуговування
Акт звірки взаєморозрахунків зведений"
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
КодТипуДокументу,М,«001» ... «028»,"Допустимі значення
001 => Договір
002 => Додаткова угода
003 => Протокол розбіжностей
004 => Акт приймання продукції (товару) за кількістю та якістю
005 => Акт про виявлені недоліки
006 => Видаткова накладна
007 => Прибуткова накладна
008 => Товарна специфікація
009 => Акт невідповідності
010 => Накладна
011 => Повідомлення про повернення
012 => Накладна на повернення
013 => Акт виконаних робіт
014 => Акт звірки взаєморозрахунків
015 => Акт взаємозаліку
016 => Рахунок-фактура
017 => Акт про виявлення невідповідностей
018 => Акт наданих послуг
019 => Анулювання
020 => Звіт комітенту
021 => Повідомлення про відмову від підписання документу
022 => Накладна на переміщення
023 => Специфікація послуг по перевезеннях
024 => Звіт комітенту по еквайрингу
025 => Рахунок по еквайрингу
026 => Зведена специфікація послуг
027 => Товарна накладна
028 => Заявка на транспортно-експедиційне обслуговування
029 => Акт звірки взаєморозрахунків зведений"
**ДокПідстава**,О,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,М,Строка (30),Номер документу-підстави
ТипДокументу,М,Строка (50),"Типи документів:
Договір
Додаткова угода  
Протокол розбіжностей  
Акт приймання продукції (товару) за кількістю та якістю
Акт про виявлені недоліки
Видаткова накладна
Прибуткова накладна
Товарна специфікація
Акт невідповідності
Накладна
Повідомлення про повернення
Накладна на повернення
Акт виконаних робіт
Акт звірки взаєморозрахунків
Акт взаємозаліку
Рахунок-фактура
Акт про виявлення невідповідностей
Акт наданих послуг
Звіт комітенту
Накладна на переміщення
Повідомлення про відмову від підписання документу
Анулювання
Специфікація послуг по перевезеннях
Звіт комітенту по еквайрингу
Рахунок по еквайрингу
Зведена специфікація послуг
Товарна накладна
Заявка на транспортно-експедиційне обслуговування
Акт звірки взаєморозрахунків зведений"
КодТипуДокументу,М,«001» / «002» ...,"Допустимі значення:
001 = Договір; 002 = Додаткова угода; 003 = Протокол розбіжностей; 004 = Акт приймання продукції (товару) за кількістю та якістю; 005 = Акт про виявлені недоліки; 006 = Видаткова накладна; 007 = Прибуткова накладна; 008 = Товарна специфікація; 009 = Акт невідповідності; 010 = Накладна; 011 = Повідомлення про повернення; 012 = Накладна на повернення; 013 = Акт виконаних робіт; 014 = Акт звірки взаєморозрахунків; 015 = Акт взаємозаліку; 016 = Рахунок-фактура; 017 = Акт про виявлення невідповідностей; 018 = Акт наданих послуг; 019 = Анулювання; 020 = Звіт комітенту; 021 = Повідомлення про відмову від підписання документу; 022 = Накладна на переміщення; 023 = Специфікація послуг по перевезеннях; 024 = Звіт комітенту по еквайрингу; 025 = Рахунок по еквайрингу; 026 = Зведена специфікація послуг; 027 = Товарна накладна; 028 = Заявка на транспортно-експедиційне обслуговування; 029 = Акт звірки взаєморозрахунків зведений"
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
